5,7,11,30,44,49,25
7,8,9,14,35,44,4
5,8,11,17,40,45,6
9,17,31,33,41,42,26
9,17,21,23,35,36,37
14,26,28,31,32,44,22
12,14,21,22,37,43,36
14,20,28,31,40,46,44
6,18,20,21,29,31,3
24,29,33,40,43,49,22
2,9,27,29,33,40,46
12,18,23,33,42,43,10
3,4,7,18,48,49,32
7,19,22,28,40,44,31
5,6,7,25,27,33,34
4,8,10,21,41,49,28
6,15,17,20,24,25,37
6,22,28,30,39,44,33
5,8,12,28,39,41,18
1,16,27,42,46,47,24
18,21,31,42,45,47,19
2,4,5,15,20,48,37
7,23,26,33,38,45,29
8,15,17,33,41,47,35
4,7,14,21,22,29,41
6,12,32,36,38,47,1
3,10,35,38,40,41,27
13,14,35,39,46,49,3
4,10,13,18,29,33,49
2,4,8,21,30,38,22
14,23,28,33,35,42,4
1,6,23,25,32,35,27
2,8,12,15,21,42,22
18,23,25,37,39,47,17
23,29,30,39,42,49,5
10,14,19,24,28,33,6
17,32,39,40,43,49,2
6,7,23,27,38,49,24
12,27,28,39,41,48,3
1,8,22,30,34,40,25
6,9,22,38,39,41,37
7,11,15,32,46,48,17
1,5,21,33,34,47,31
5,17,22,31,40,48,18
1,11,14,15,19,41,40
7,10,11,30,31,42,36
3,4,25,27,42,45,7
4,11,27,28,30,49,47
15,21,28,35,42,43,23
1,23,27,36,43,45,10
1,18,22,25,31,39,42
17,22,24,28,33,46,19
18,28,30,31,41,46,1
1,18,20,31,38,47,43
11,15,18,22,41,49,37
3,4,6,21,23,44,48
3,17,20,24,38,43,12
1,5,7,21,37,49,30
4,7,9,17,20,48,11
6,17,24,29,33,36,45
7,9,21,22,24,47,25
2,17,21,26,30,48,31
3,8,19,27,42,43,46
4,7,9,10,19,47,43
12,14,15,20,40,41,42
1,19,24,27,38,48,36
21,23,25,34,42,49,30
7,20,23,29,40,46,22
8,9,10,21,35,41,22
3,6,15,17,18,35,22
10,13,17,22,40,46,32
7,10,16,33,39,44,15
3,4,17,24,30,34,36
4,8,19,35,44,49,17
1,6,32,34,37,45,26
29,37,42,46,47,49,4
17,20,28,29,33,36,23
13,14,16,24,41,43,39
4,5,10,12,20,23,24
10,15,17,18,19,31,24
12,18,22,37,38,49,35
11,23,28,30,32,46,49
7,9,13,44,47,48,22
18,22,23,32,40,42,28
2,19,24,33,35,46,12
18,30,33,34,38,48,36
14,15,31,36,42,47,1
19,23,40,43,45,49,8
4,17,19,25,35,37,7
6,11,18,19,38,42,17
26,28,29,30,41,49,31
2,3,5,15,22,29,26
2,15,35,36,38,39,4
5,26,28,30,42,44,40
5,9,10,13,41,44,39
6,7,22,27,35,42,1
2,5,21,25,34,36,28
3,5,9,28,35,47,14
13,14,17,25,31,49,18
11,15,17,30,43,49,3
5,24,28,36,42,47,8
1,22,30,33,40,47,42
6,19,24,26,42,43,23
2,5,8,23,26,32,18
4,27,28,29,34,43,20
4,18,24,34,36,48,10
1,4,5,7,18,47,6
1,3,7,19,20,46,15
4,8,29,33,38,48,15
2,6,22,26,33,48,43
9,19,22,34,41,46,6
12,15,22,29,30,35,44
13,16,18,24,31,43,2
11,29,32,37,40,48,14
12,22,23,27,34,35,25
1,19,20,30,35,46,40
5,17,29,36,37,49,2
1,7,11,38,41,42,45
6,12,15,24,35,47,22
1,3,25,33,36,42,14
5,9,11,20,23,30,45
16,36,40,43,45,47,10
17,21,29,33,35,46,28
13,23,28,37,42,45,25
2,5,11,22,24,42,1
8,14,22,26,35,37,11
14,18,20,30,43,47,35
5,9,14,25,34,38,40
4,11,22,27,47,49,33
3,19,23,28,37,43,34
3,8,11,12,39,43,18
8,15,23,24,28,34,9
1,18,20,38,43,48,42
8,12,28,30,43,49,42
5,15,19,25,34,36,40
3,7,13,17,27,40,19
10,11,18,23,26,37,6
9,18,22,23,29,33,15
11,13,14,28,40,42,48
5,10,16,23,31,44,37
14,19,30,31,47,48,16
7,9,18,24,39,40,4
18,26,32,36,40,45,21
10,31,35,40,41,44,46
2,5,9,28,29,48,36
10,19,20,33,43,46,25
15,26,29,35,36,41,19
3,5,8,10,16,17,46
16,17,22,38,44,49,14
1,7,9,27,30,48,28
9,25,34,37,44,45,6
17,22,23,33,36,42,12
16,18,29,34,35,39,40
13,20,31,34,36,44,11
1,6,10,23,25,40,32
4,17,22,26,31,47,32
8,17,20,32,41,43,9
3,7,20,31,43,45,41
14,16,20,38,39,45,23
8,14,16,21,47,49,29
20,29,33,35,37,40,5
17,20,28,39,43,44,40
4,21,25,27,31,49,26
14,19,22,25,38,48,8
11,12,16,20,35,46,34
